,Rooms,Status,Area,Price
1000,4,Ready to move,2250,29000000
1001,4,Ready to move,2250,31000000
1002,3,Ready to move,1125,19000000
1003,4,Ready to move,4500,154500000
1004,5,Ready to move,7200,182500000
1005,4,Ready to move,5400,130000000
1006,4,Ready to move,2600,92500000
1007,6,Ready to move,10000,610000000
1008,4,Ready to move,3600,85000000
1009,4,Ready to move,3600,86000000
1010,4,Ready to move,3600,94500000
1011,4,Ready to move,4500,153300000
1012,4,Ready to move,4000,142200000
1013,4,Ready to move,4500,120000000
1014,4,Ready to move,6000,130000000
1015,4,Ready to move,7000,130000000
1016,4,Ready to move,4500,127500000
1017,4,Ready to move,3600,95000000
1018,4,Under Construction,4140,75000000
1019,4,Ready to move,2450,35000000
1020,3,Ready to move,1600,15500000
1021,3,Ready to move,1125,6559999
1022,3,Ready to move,2000,21000000
1023,3,Ready to move,1700,30000000
1024,3,Ready to move,1100,15000000
1025,2,Ready to move,1500,25000000
1026,3,Ready to move,1500,37500000
1027,3,Ready to move,1750,17400000
1028,4,Ready to move,2400,25000000
1029,4,Ready to move,2400,22400000
1030,3,Ready to move,1700,17000000
1031,4,Ready to move,2400,24500000
1032,3,Ready to move,1750,17400000
1033,4,Ready to move,2400,27900000
1034,3,Ready to move,1750,19500000
1035,3,Ready to move,1700,16000000
1036,4,Ready to move,2400,26300000
1037,3,Ready to move,1750,19000000
1038,3,Ready to move,1750,18000000
1039,3,Ready to move,1700,16500000
1040,3,Ready to move,2200,27500000
1041,3,Ready to move,1700,16000000
1042,2,Ready to move,1200,14900000
1043,3,Ready to move,1700,16000000
1044,3,Ready to move,1750,19000000
1045,4,Ready to move,2400,25000000
1046,3,Ready to move,1600,22500000
1047,3,Ready to move,1750,18500000
1048,2,Ready to move,1200,13500000
1049,3,Ready to move,1750,18000000
1050,4,Ready to move,2400,23800000
1051,3,Ready to move,1800,22000000
1052,4,Ready to move,2400,23000000
1053,2,Ready to move,1200,13500000
1054,3,Ready to move,1750,18800000
1055,3,Ready to move,1700,15800000
1056,4,Ready to move,1800,22000000
1057,3,Ready to move,1800,23000000
1058,3,Ready to move,1800,24500000
1059,3,Ready to move,1750,19800000
1060,3,Ready to move,1750,18100000
